Date,Open,High,Low,Close,Adj Close,Volume
2007-01-02,6614.729980,6682.810059,6614.729980,6681.129883,6681.129883,0
2007-01-03,6681.229980,6704.040039,6667.580078,6691.319824,6691.319824,0
2007-01-04,6662.240234,6684.109863,6634.740234,6674.399902,6674.399902,0
2007-01-05,6661.899902,6665.509766,6588.029785,6593.089844,6593.089844,0
2007-01-08,6603.549805,6628.359863,6579.899902,6607.589844,6607.589844,0
2007-01-09,6625.279785,6665.910156,6606.870117,6614.370117,6614.370117,0
2007-01-10,6578.759766,6592.970215,6531.250000,6566.560059,6566.560059,0
2007-01-11,6590.740234,6695.740234,6571.589844,6687.299805,6687.299805,0
2007-01-12,6690.430176,6705.169922,6659.950195,6705.169922,6705.169922,0
2007-01-15,6719.529785,6746.299805,6719.529785,6731.740234,6731.740234,0
2007-01-16,6735.830078,6746.629883,6705.209961,6716.819824,6716.819824,0
2007-01-17,6716.669922,6732.310059,6672.759766,6701.700195,6701.700195,0
2007-01-18,6721.089844,6737.979980,6661.049805,6689.620117,6689.620117,0
2007-01-19,6678.810059,6754.549805,6651.680176,6747.169922,6747.169922,0
2007-01-22,6753.729980,6766.569824,6682.490234,6687.310059,6687.310059,0
2007-01-23,6692.830078,6704.359863,6627.959961,6678.930176,6678.930176,0
2007-01-24,6692.649902,6759.950195,6681.660156,6748.370117,6748.370117,0
2007-01-25,6743.430176,6771.419922,6703.899902,6719.580078,6719.580078,0
2007-01-26,6690.290039,6731.359863,6659.450195,6690.339844,6690.339844,0
2007-01-29,6702.450195,6739.500000,6683.379883,6726.009766,6726.009766,0
2007-01-30,6719.970215,6801.270020,6711.049805,6788.229980,6788.229980,0
2007-01-31,6772.830078,6805.089844,6758.850098,6789.109863,6789.109863,0
2007-02-01,6821.310059,6874.770020,6820.580078,6851.279785,6851.279785,0
2007-02-02,6853.770020,6904.879883,6848.169922,6885.759766,6885.759766,0
2007-02-05,6878.669922,6891.129883,6864.189941,6874.060059,6874.060059,0
2007-02-06,6881.899902,6906.680176,6862.189941,6875.700195,6875.700195,0
2007-02-07,6886.009766,6924.459961,6885.080078,6915.560059,6915.560059,0
2007-02-08,6911.240234,6918.040039,6849.850098,6876.729980,6876.729980,0
2007-02-09,6890.649902,6928.979980,6890.640137,6911.109863,6911.109863,0
2007-02-12,6892.029785,6892.029785,6844.390137,6859.450195,6859.450195,0
2007-02-13,6868.680176,6895.520020,6866.069824,6895.339844,6895.339844,0
2007-02-14,6912.560059,6965.390137,6907.910156,6961.180176,6961.180176,0
2007-02-15,6958.140137,6972.439941,6942.250000,6958.620117,6958.620117,0
2007-02-16,6955.709961,6979.020020,6941.029785,6957.069824,6957.069824,0
2007-02-19,6967.529785,6996.009766,6965.910156,6987.080078,6987.080078,0
2007-02-20,6978.520020,6987.669922,6936.080078,6982.910156,6982.910156,0
2007-02-21,6999.180176,7005.339844,6922.359863,6941.660156,6941.660156,0
2007-02-22,6959.370117,7012.339844,6955.569824,6973.729980,6973.729980,0
2007-02-23,6986.069824,6998.270020,6964.500000,6992.580078,6992.580078,0
2007-02-26,6992.120117,7040.200195,6980.250000,7027.589844,7027.589844,0
2007-02-27,6988.339844,6988.339844,6814.569824,6819.649902,6819.649902,0
2007-02-28,6728.399902,6775.520020,6640.990234,6715.439941,6715.439941,0
2007-03-01,6714.250000,6756.250000,6544.279785,6640.240234,6640.240234,0
2007-03-02,6663.600098,6703.040039,6554.049805,6603.319824,6603.319824,0
2007-03-05,6510.950195,6563.450195,6437.250000,6534.569824,6534.569824,0
2007-03-06,6558.890137,6607.990234,6545.629883,6595.000000,6595.000000,0
2007-03-07,6605.899902,6633.870117,6584.470215,6617.750000,6617.750000,0
2007-03-08,6643.819824,6713.540039,6639.890137,6713.229980,6713.229980,0
2007-03-09,6706.450195,6745.060059,6665.729980,6716.520020,6716.520020,0
2007-03-12,6727.569824,6752.180176,6674.990234,6715.490234,6715.490234,0
2007-03-13,6716.350098,6722.830078,6623.990234,6623.990234,6623.990234,0
2007-03-14,6567.240234,6567.240234,6444.700195,6447.700195,6447.700195,0
2007-03-15,6495.850098,6594.330078,6495.839844,6585.470215,6585.470215,0
2007-03-16,6564.790039,6614.060059,6528.299805,6579.870117,6579.870117,0
2007-03-19,6622.759766,6677.339844,6614.140137,6671.410156,6671.410156,0
2007-03-20,6673.680176,6703.399902,6633.810059,6700.290039,6700.290039,0
2007-03-21,6696.250000,6729.649902,6688.339844,6712.060059,6712.060059,0
2007-03-22,6742.779785,6872.629883,6742.779785,6856.959961,6856.959961,0
2007-03-23,6859.000000,6902.620117,6828.220215,6899.060059,6899.060059,0
2007-03-26,6899.330078,6903.819824,6799.370117,6828.819824,6828.819824,0
2007-03-27,6838.319824,6885.339844,6838.319824,6858.339844,6858.339844,0
2007-03-28,6830.729980,6843.370117,6788.330078,6816.890137,6816.890137,0
2007-03-29,6834.089844,6903.479980,6834.089844,6897.080078,6897.080078,0
2007-03-30,6903.879883,6965.839844,6885.580078,6917.029785,6917.029785,0
2007-04-02,6911.129883,6945.359863,6891.799805,6937.169922,6937.169922,0
2007-04-03,6945.359863,7053.120117,6945.270020,7045.560059,7045.560059,0
2007-04-04,7072.509766,7076.209961,7038.490234,7073.910156,7073.910156,0
2007-04-05,7074.589844,7103.729980,7068.089844,7099.910156,7099.910156,0
2007-04-10,7102.470215,7172.080078,7090.689941,7166.669922,7166.669922,0
2007-04-11,7168.100098,7201.930176,7139.339844,7152.830078,7152.830078,0
2007-04-12,7150.830078,7152.379883,7087.290039,7142.950195,7142.950195,0
2007-04-13,7153.890137,7213.200195,7150.700195,7212.069824,7212.069824,0
2007-04-16,7229.060059,7340.250000,7229.060059,7338.060059,7338.060059,0
2007-04-17,7327.500000,7365.509766,7292.299805,7348.830078,7348.830078,0
2007-04-18,7341.250000,7341.250000,7243.419922,7282.339844,7282.339844,0
2007-04-19,7205.529785,7248.180176,7155.049805,7242.729980,7242.729980,0
2007-04-20,7257.339844,7366.589844,7253.029785,7342.540039,7342.540039,0
2007-04-23,7348.009766,7358.270020,7302.430176,7335.620117,7335.620117,0
2007-04-24,7342.080078,7342.080078,7218.720215,7270.319824,7270.319824,0
2007-04-25,7291.770020,7363.370117,7287.799805,7343.080078,7343.080078,0
2007-04-26,7368.540039,7412.529785,7356.839844,7387.020020,7387.020020,0
2007-04-27,7384.020020,7395.359863,7333.689941,7378.120117,7378.120117,0
2007-04-30,7369.240234,7436.299805,7361.359863,7408.870117,7408.870117,0
2007-05-02,7429.930176,7462.720215,7422.810059,7455.930176,7455.930176,0
2007-05-03,7472.140137,7483.220215,7420.350098,7476.689941,7476.689941,0
2007-05-04,7476.680176,7526.509766,7460.020020,7516.759766,7516.759766,0
2007-05-07,7523.950195,7538.589844,7508.100098,7525.689941,7525.689941,0
2007-05-08,7515.009766,7515.470215,7413.009766,7442.200195,7442.200195,0
2007-05-09,7471.950195,7489.859863,7427.250000,7475.990234,7475.990234,0
2007-05-10,7477.439941,7494.180176,7400.419922,7415.330078,7415.330078,0
2007-05-11,7386.799805,7482.359863,7304.609863,7479.339844,7479.339844,0
2007-05-14,7505.000000,7527.959961,7446.109863,7459.609863,7459.609863,0
2007-05-15,7432.660156,7520.529785,7418.259766,7505.350098,7505.350098,0
2007-05-16,7483.430176,7523.000000,7460.290039,7481.250000,7481.250000,0
2007-05-17,7502.120117,7528.620117,7483.660156,7499.500000,7499.500000,0
2007-05-18,7498.569824,7613.620117,7490.509766,7607.540039,7607.540039,0
2007-05-21,7614.040039,7644.439941,7599.490234,7619.310059,7619.310059,0
2007-05-22,7623.640137,7676.870117,7608.759766,7659.390137,7659.390137,0
2007-05-23,7665.049805,7739.060059,7659.799805,7735.879883,7735.879883,0
2007-05-24,7716.180176,7774.359863,7669.049805,7697.379883,7697.379883,0
2007-05-25,7672.950195,7746.919922,7658.270020,7739.200195,7739.200195,0
2007-05-29,7758.859863,7787.549805,7735.799805,7781.040039,7781.040039,0
2007-05-30,7741.950195,7768.750000,7675.890137,7764.970215,7764.970215,0
2007-05-31,7790.930176,7895.709961,7790.930176,7883.040039,7883.040039,0
2007-06-01,7891.200195,8001.629883,7889.740234,7987.850098,7987.850098,0
2007-06-04,7973.680176,8010.390137,7936.180176,7976.790039,7976.790039,0
2007-06-05,7987.109863,7996.609863,7880.350098,7919.830078,7919.830078,0
2007-06-06,7916.709961,7925.839844,7723.549805,7730.049805,7730.049805,0
2007-06-07,7750.379883,7786.939941,7590.169922,7618.609863,7618.609863,0
2007-06-08,7576.009766,7644.959961,7499.430176,7590.500000,7590.500000,0
2007-06-11,7623.330078,7706.100098,7623.330078,7706.100098,7706.100098,0
2007-06-12,7693.600098,7740.020020,7629.459961,7678.259766,7678.259766,0
2007-06-13,7652.589844,7701.009766,7595.689941,7680.759766,7680.759766,0
2007-06-14,7753.180176,7850.729980,7752.040039,7849.160156,7849.160156,0
2007-06-15,7861.220215,8032.970215,7860.330078,8030.640137,8030.640137,0
2007-06-18,8044.729980,8095.759766,8013.580078,8036.120117,8036.120117,0
2007-06-19,8044.589844,8074.109863,8011.290039,8033.520020,8033.520020,0
2007-06-20,8066.180176,8131.729980,8046.640137,8090.490234,8090.490234,0
2007-06-21,8050.649902,8060.640137,7905.180176,7964.709961,7964.709961,0
